code,name,board,board_label,candidate_type,classification,signal_date,entry_date,entry_model,signal_close,entry_price,total_score,support_status,main_support_ma,main_support_distance,strength_trigger,high_trigger,max_drawdown,return_5d,return_10d,return_20d,exit_date_5d,exit_date_10d,exit_date_20d
688019,安集科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-04-25,2025-04-28,NEXT_OPEN,97.898,98.827,62.18,SPRINT_MA20_SUPPORT,MA20,0.00228,single_day_surge,new_120d_high,-0.018386,0.099831,0.077671,0.021563,2025-05-07,2025-05-14,2025-05-28
688102,斯瑞新材,KCB,科创板,WATCH_CANDIDATE,observe,2025-04-25,2025-04-28,NEXT_OPEN,11.69,11.61,70.7,SPRINT_MA20_SUPPORT,MA20,0.0287,single_day_surge,new_120d_high,-0.059432,0.059432,-0.008613,0.012059,2025-05-07,2025-05-14,2025-05-28
688136,科兴制药,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-07,2025-05-08,NEXT_OPEN,35.845,35.855,76.84,SPRINT_MA20_SUPPORT,MA20,0.053522,ret_20d,new_120d_high,-0.069725,-0.054386,0.185469,0.421699,2025-05-14,2025-05-21,2025-06-05
300100,双林股份,CYB,创业板,WATCH_CANDIDATE,observe,2025-05-14,2025-05-15,NEXT_OPEN,54.841,54.9,62.19,SPRINT_MA20_SUPPORT,MA20,0.026482,ret_50d,new_120d_high,-0.249909,-0.120219,-0.181967,-0.203279,2025-05-21,2025-05-28,2025-06-12
688093,世华科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-14,2025-05-15,NEXT_OPEN,25.544,25.504,64.47,SPRINT_MA20_SUPPORT,MA20,0.041074,ret_20d,new_120d_high,-0.04117,-0.01686,-0.036465,0.006666,2025-05-21,2025-05-28,2025-06-12
688336,三生国健,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-14,2025-05-15,NEXT_OPEN,18.267,18.281,44.31,SPRINT_MA50_TESTING,MA50,0.027875,single_day_surge,new_120d_high,-0.010557,0.760516,1.015535,1.24189,2025-05-21,2025-05-28,2025-06-12
688508,芯朋微,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-14,2025-05-15,NEXT_OPEN,53.457,53.107,60.08,SPRINT_MA20_SUPPORT,MA20,0.015985,single_day_surge,new_120d_high,-0.061762,-0.024291,-0.056678,-0.040804,2025-05-21,2025-05-28,2025-06-12
688501,青达环保,KCB,科创板,KEY_CANDIDATE,highlight,2025-05-21,2025-05-22,NEXT_OPEN,29.28,29.5,82.27,SPRINT_MA5_SUPPORT,MA5,0.003825,ret_20d,new_120d_high,-0.091525,-0.015932,0.008136,-0.089492,2025-05-28,2025-06-05,2025-06-19
688510,航亚科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-21,2025-05-22,NEXT_OPEN,17.58,17.6,53.55,SPRINT_MA20_SUPPORT,MA20,0.038396,single_day_surge,new_120d_high,-0.034659,0.044318,0.174432,0.178977,2025-05-28,2025-06-05,2025-06-19
688313,仕佳光子,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-22,2025-05-23,NEXT_OPEN,28.691,28.691,80.46,SPRINT_MA20_SUPPORT,MA20,0.048674,ret_20d,new_120d_high,-0.06448,-0.005228,0.216096,0.334913,2025-05-29,2025-06-06,2025-06-20
688019,安集科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-28,2025-05-29,NEXT_OPEN,100.958,100.958,48.31,SPRINT_MA20_SUPPORT,MA20,0.041354,single_day_surge,new_120d_high,-0.012778,0.048892,0.065364,0.080875,2025-06-05,2025-06-12,2025-06-26
688297,中无人机,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-28,2025-05-29,NEXT_OPEN,44.601,44.681,65.69,SPRINT_MA20_SUPPORT,MA20,0.012399,single_day_surge,new_120d_high,-0.027528,0.027528,-0.002014,0.096685,2025-06-05,2025-06-12,2025-06-26
688360,德马科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-05-28,2025-05-29,NEXT_OPEN,19.361,19.79,77.25,SPRINT_MA20_SUPPORT,MA20,0.023057,ret_20d,new_120d_high,-0.158666,-0.015513,-0.099545,-0.098029,2025-06-05,2025-06-12,2025-06-26
601127,赛力斯,SH_MAIN,沪主板,WATCH_CANDIDATE,observe,2025-06-05,2025-06-06,NEXT_OPEN,132.97,132.89,58.88,SPRINT_MA20_SUPPORT,MA20,0.009352,single_day_surge,new_120d_high,-0.037174,0.004816,-0.021371,0.011965,2025-06-12,2025-06-19,2025-07-03
300353,东土科技,CYB,创业板,WATCH_CANDIDATE,observe,2025-06-06,2025-06-09,NEXT_OPEN,23.24,23.34,62.8,SPRINT_MA20_SUPPORT,MA20,0.00355,single_day_surge,new_120d_high,-0.131962,-0.035561,-0.111397,-0.131534,2025-06-13,2025-06-20,2025-07-04
688178,万德斯,KCB,科创板,WATCH_CANDIDATE,observe,2025-06-12,2025-06-13,NEXT_OPEN,24.85,24.82,64.13,SPRINT_MA20_SUPPORT,MA20,0.006398,single_day_surge,new_120d_high,-0.095488,-0.007655,-0.070105,-0.088235,2025-06-19,2025-06-26,2025-07-10
688373,盟科药业,KCB,科创板,WATCH_CANDIDATE,observe,2025-06-26,2025-06-27,NEXT_OPEN,6.15,6.15,45.77,SPRINT_MA50_TESTING,MA50,0.009301,single_day_surge,new_120d_high,-0.001626,0.104065,0.173984,0.255285,2025-07-03,2025-07-10,2025-07-24
688117,圣诺生物,KCB,科创板,WATCH_CANDIDATE,observe,2025-07-03,2025-07-04,NEXT_OPEN,23.785,23.835,78.98,SPRINT_MA20_SUPPORT,MA20,0.002102,single_day_surge,new_120d_high,-0.006629,0.021565,0.170506,0.185484,2025-07-10,2025-07-17,2025-07-31
688552,航天南湖,KCB,科创板,WATCH_CANDIDATE,observe,2025-07-09,2025-07-10,NEXT_OPEN,37.321,36.871,68.59,SPRINT_MA20_SUPPORT,MA20,0.008614,single_day_surge,new_120d_high,-0.063465,-0.057227,0.016544,0.165442,2025-07-16,2025-07-23,2025-08-06
002074,国轩高科,SZ_MAIN,深主板,WATCH_CANDIDATE,observe,2025-07-10,2025-07-11,NEXT_OPEN,29.81,29.72,68.98,SPRINT_MA20_SUPPORT,MA20,0.018903,single_day_surge,new_120d_high,-0.044415,0.006057,0.02389,-0.022207,2025-07-17,2025-07-24,2025-08-07
300085,银之杰,CYB,创业板,WATCH_CANDIDATE,observe,2025-07-10,2025-07-11,NEXT_OPEN,42.94,42.75,65.8,SPRINT_MA20_SUPPORT,MA20,0.020622,single_day_surge,new_120d_high,-0.044444,-0.007953,0.048889,-0.015906,2025-07-17,2025-07-24,2025-08-07
