code,name,candidate_type,classification,signal_date,entry_date,entry_price,signal_close,total_score,support_status,main_support_ma,main_support_distance,strength_trigger,high_trigger,max_drawdown,return_5d,return_10d,return_20d,exit_date_5d,exit_date_10d,exit_date_20d,risk_tags,warn_tags
688019,安集科技,WATCH_CANDIDATE,observe,2025-04-25,2025-04-28,98.827,97.898,62.18,SPRINT_MA20_SUPPORT,MA20,0.00228,single_day_surge,new_120d_high,-0.018386,0.099831,0.077671,0.021563,2025-05-07,2025-05-14,2025-05-28,,
688102,斯瑞新材,WATCH_CANDIDATE,observe,2025-04-25,2025-04-28,11.61,11.69,70.7,SPRINT_MA20_SUPPORT,MA20,0.0287,single_day_surge,new_120d_high,-0.059432,0.059432,-0.008613,0.012059,2025-05-07,2025-05-14,2025-05-28,,
688136,科兴制药,WATCH_CANDIDATE,observe,2025-05-07,2025-05-08,35.855,35.845,76.84,SPRINT_MA20_SUPPORT,MA20,0.053522,ret_20d,new_120d_high,-0.069725,-0.054386,0.185469,0.421699,2025-05-14,2025-05-21,2025-06-05,,HIGH_5D_VOLATILITY|HIGH_10D_VOLATILITY
688093,世华科技,WATCH_CANDIDATE,observe,2025-05-14,2025-05-15,25.504,25.544,64.47,SPRINT_MA20_SUPPORT,MA20,0.041074,ret_20d,new_120d_high,-0.04117,-0.01686,-0.036465,0.006666,2025-05-21,2025-05-28,2025-06-12,,
688336,三生国健,WATCH_CANDIDATE,observe,2025-05-14,2025-05-15,18.281,18.267,44.31,SPRINT_MA50_TESTING,MA50,0.027875,single_day_surge,new_120d_high,-0.010557,0.760516,1.015535,1.24189,2025-05-21,2025-05-28,2025-06-12,,
688508,芯朋微,WATCH_CANDIDATE,observe,2025-05-14,2025-05-15,53.107,53.457,60.08,SPRINT_MA20_SUPPORT,MA20,0.015985,single_day_surge,new_120d_high,-0.061762,-0.024291,-0.056678,-0.040804,2025-05-21,2025-05-28,2025-06-12,,
688282,理工导航,WATCH_CANDIDATE,observe,2025-05-21,2025-05-22,41.9,41.81,60.33,SPRINT_MA50_TESTING,MA50,0.027635,single_day_surge,new_120d_high,-0.044869,-0.006921,0.0,0.001432,2025-05-28,2025-06-05,2025-06-19,,
688501,青达环保,KEY_CANDIDATE,highlight,2025-05-21,2025-05-22,29.5,29.28,82.27,SPRINT_MA5_SUPPORT,MA5,0.003825,ret_20d,new_120d_high,-0.091525,-0.015932,0.008136,-0.089492,2025-05-28,2025-06-05,2025-06-19,,
688510,航亚科技,WATCH_CANDIDATE,observe,2025-05-21,2025-05-22,17.6,17.58,53.55,SPRINT_MA20_SUPPORT,MA20,0.038396,single_day_surge,new_120d_high,-0.034659,0.044318,0.174432,0.178977,2025-05-28,2025-06-05,2025-06-19,,
688682,霍莱沃,WATCH_CANDIDATE,observe,2025-05-21,2025-05-22,26.129,26.186,57.27,SPRINT_MA20_SUPPORT,MA20,0.040522,single_day_surge,new_120d_high,-0.020246,0.019136,0.079643,0.066248,2025-05-28,2025-06-05,2025-06-19,,
