code,name,board,candidate_type,classification,signal_date,entry_date,entry_model,signal_close,entry_price,total_score,short_strength_score,volume_dry_score,volume_dry_level,support_status,main_support_ma,main_support_distance,strength_trigger,high_trigger,max_drawdown,return_5d,return_10d,return_20d,exit_date_5d,exit_date_10d,exit_date_20d,risk_tags,warn_tags
688313,仕佳光子,KCB,BUY_CANDIDATE,trade,2025-05-22,2025-05-23,NEXT_OPEN,28.691,28.691,80.46,23,14,HEALTHY_DRY,SPRINT_MA20_SUPPORT,MA20,0.048674,ret_20d,new_120d_high,-0.06448,-0.005228,0.216096,0.334913,2025-05-29,2025-06-06,2025-06-20,[],['HIGH_5D_VOLATILITY']
688171,纬德信息,KCB,BUY_CANDIDATE,trade,2025-06-05,2025-06-06,NEXT_OPEN,32.369,32.169,79.26,19,15,HEALTHY_DRY,SPRINT_MA10_SUPPORT,MA10,0.031604,ret_5d,new_120d_high,-0.118406,-0.062483,-0.069943,-0.093537,2025-06-12,2025-06-19,2025-07-03,[],"['HIGH_5D_VOLATILITY', 'HIGH_10D_VOLATILITY']"
688499,利元亨,KCB,BUY_CANDIDATE,trade,2025-07-10,2025-07-11,NEXT_OPEN,39.46,39.16,76.07,23,14,HEALTHY_DRY,SPRINT_MA20_SUPPORT,MA20,0.044513,ret_20d,new_120d_high,-0.011747,0.112104,0.339377,0.344484,2025-07-17,2025-07-24,2025-08-07,[],[]
688626,翔宇医疗,KCB,BUY_CANDIDATE,trade,2025-07-24,2025-07-25,NEXT_OPEN,45.624,45.554,76.46,17,16,HEALTHY_DRY,SPRINT_MA10_SUPPORT,MA10,0.016724,single_day_surge,new_120d_high,-0.035562,0.005927,0.291303,0.29723,2025-07-31,2025-08-07,2025-08-21,[],[]
300476,胜宏科技,CYB,BUY_CANDIDATE,trade,2025-08-07,2025-08-08,NEXT_OPEN,189.706,186.136,79.78,24,13,WATCH_DRY,SPRINT_MA10_SUPPORT,MA10,0.024564,ret_20d,new_120d_high,-0.000376,0.201788,0.150589,0.313588,2025-08-14,2025-08-21,2025-09-04,[],['HIGH_10D_VOLATILITY']
300502,新易盛,CYB,BUY_CANDIDATE,trade,2025-08-07,2025-08-08,NEXT_OPEN,130.44,130.0,68.05,23,13,WATCH_DRY,SPRINT_MA20_SUPPORT,MA20,0.047029,ret_20d,new_120d_high,-0.011615,0.264077,0.411308,0.709308,2025-08-14,2025-08-21,2025-09-04,[],[]
688185,康希诺,KCB,BUY_CANDIDATE,trade,2025-08-14,2025-08-15,NEXT_OPEN,83.93,84.0,85.04,24,14,HEALTHY_DRY,SPRINT_MA10_SUPPORT,MA10,0.001549,ret_20d,new_120d_high,-0.070238,0.022976,-0.032262,0.009167,2025-08-21,2025-08-28,2025-09-11,[],[]
688004,博汇科技,KCB,BUY_CANDIDATE,trade,2025-08-21,2025-08-22,NEXT_OPEN,25.22,25.15,75.4,23,14,HEALTHY_DRY,SPRINT_MA20_SUPPORT,MA20,0.0204,ret_20d,new_120d_high,-0.101392,0.007555,-0.083897,-0.060835,2025-08-28,2025-09-04,2025-09-18,[],[]
688039,当虹科技,KCB,BUY_CANDIDATE,trade,2025-08-21,2025-08-22,NEXT_OPEN,50.53,50.27,82.6,21,14,HEALTHY_DRY,SPRINT_MA20_SUPPORT,MA20,0.028953,ret_20d,new_120d_high,-0.043963,0.208474,-0.022081,0.034414,2025-08-28,2025-09-04,2025-09-18,[],[]
688171,纬德信息,KCB,BUY_CANDIDATE,trade,2025-08-21,2025-08-22,NEXT_OPEN,43.2,43.41,81.42,24,15,HEALTHY_DRY,SPRINT_MA10_SUPPORT,MA10,0.000301,ret_20d,new_120d_high,-0.032481,0.066805,0.103202,0.151808,2025-08-28,2025-09-04,2025-09-18,[],['HIGH_10D_VOLATILITY']
000063,中兴通讯,SZ_MAIN,BUY_CANDIDATE,trade,2025-09-11,2025-09-12,NEXT_OPEN,43.74,43.03,75.13,24,14,HEALTHY_DRY,SPRINT_MA10_SUPPORT,MA10,0.01198,ret_20d,new_120d_high,-0.018127,0.028352,0.064374,0.130142,2025-09-18,2025-09-25,2025-10-17,[],[]
002402,和而泰,SZ_MAIN,BUY_CANDIDATE,trade,2025-09-11,2025-09-12,NEXT_OPEN,37.7,37.55,77.99,20,15,HEALTHY_DRY,SPRINT_MA10_SUPPORT,MA10,0.02305,ret_5d,new_120d_high,-0.005859,0.165113,0.395473,0.338482,2025-09-18,2025-09-25,2025-10-17,[],['HIGH_5D_VOLATILITY']
002600,领益智造,SZ_MAIN,BUY_CANDIDATE,trade,2025-09-11,2025-09-12,NEXT_OPEN,14.5,14.34,80.6,24,13,WATCH_DRY,SPRINT_MA10_SUPPORT,MA10,0.014828,ret_20d,new_120d_high,-0.030683,0.007671,0.107392,-0.017434,2025-09-18,2025-09-25,2025-10-17,[],[]
688318,财富趋势,KCB,BUY_CANDIDATE,trade,2025-09-11,2025-09-12,NEXT_OPEN,113.357,112.586,77.2,24,13,WATCH_DRY,SPRINT_MA10_SUPPORT,MA10,0.013532,ret_20d,new_120d_high,-0.114961,0.011422,-0.014593,-0.112678,2025-09-18,2025-09-25,2025-10-17,[],[]
