audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],000630,2025-10-29,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-63b6824ba541af820ed8,s6ps-302e3a382d956a99,s6setup-610080e5ba770bebdb5b,2025-10-24,CANCELLED,ORIGINAL
[],000630,2025-10-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-3a29799500da91cf4ad6,s6ps-302e3a382d956a99,s6setup-60d6fd6b2c2cbebf8e4f,2025-10-27,CANCELLED,ORIGINAL
[],000766,2025-07-04,FILLED_FROZEN_PLAN,s6order-d7f7bad1d5e9a5c32990,s6ps-302e3a382d956a99,s6setup-abc124a8ca7cf046a1b1,2025-07-01,FILLED,BOX
[],000777,2024-05-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-49ad4c6a560603b6f700,s6ps-302e3a382d956a99,s6setup-e8d29abdf82f10859d35,2024-05-13,CANCELLED,ORIGINAL
[],000829,2024-11-19,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-895d2a7d5e02b9def08b,s6ps-302e3a382d956a99,s6setup-085cfe806f3931768d77,2024-11-14,CANCELLED,ORIGINAL
[],000859,2025-06-12,FILLED_FROZEN_PLAN,s6order-43ae3c3cf77f524a5e72,s6ps-302e3a382d956a99,s6setup-828e8f580919d0182d35,2025-06-09,FILLED,ORIGINAL
[],000887,2025-09-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-666cf2be429f8e813023,s6ps-302e3a382d956a99,s6setup-713d8c6af9bd6e72126e,2025-09-11,CANCELLED,ORIGINAL
[],000901,2025-09-02,FILLED_FROZEN_PLAN,s6order-eb4d27e0551b72ed2168,s6ps-302e3a382d956a99,s6setup-a5af3481b58184abfee7,2025-08-28,FILLED,ORIGINAL
[],000932,2025-08-13,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-7c18c4b99b5bcb833c26,s6ps-302e3a382d956a99,s6setup-e112473ba7fccbb736ed,2025-08-08,CANCELLED,ORIGINAL
[],000948,2025-03-14,FILLED_FROZEN_PLAN,s6order-308860ff467954540db7,s6ps-302e3a382d956a99,s6setup-f3248b6185008172b7e7,2025-03-11,FILLED,ORIGINAL
[],000989,2025-08-06,FILLED_FROZEN_PLAN,s6order-6e4b334abd246ee6d904,s6ps-302e3a382d956a99,s6setup-d71494a0ad33658203ce,2025-08-01,FILLED,BOX
