box_quality_tag,box_status,candidate_type,code,commission,compact_kline_pass,entry_date,entry_price,exit_date,exit_price,exit_reason,intraday_stop_breach,net_profit,net_return,parameter_set_id,r_multiple,setup_id,signal_date,slippage,stop_loss_price,tail_path,tax,total_score,trade_id
BOX_COMPACT_READY,BOX_SUPPORT_READY,KEY_CANDIDATE,000766,10.0,True,2025-07-02,25.29527,2025-07-08,24.08589,STOP,False,-132.191664,-0.05225944,s6ps-302e3a382d956a99,-1.020341,s6setup-abc124a8ca7cf046a1b1,2025-07-01,0.049381,24.11,BOX,1.2536759999999998,78,s6trade-f742845e691fded005cb
NONE,BOX_FORMING,KEY_CANDIDATE,000859,10.0,False,2025-06-10,7.57757,2025-06-11,6.993,STOP,False,-68.821218,-0.09082228,s6ps-302e3a382d956a99,-1.01212,s6setup-828e8f580919d0182d35,2025-06-09,0.014571,7.0,ORIGINAL,0.364221,78,s6trade-63be38f111904b1e68f8
NONE,BOX_FORMING,KEY_CANDIDATE,000901,10.0,False,2025-08-29,18.4184,2025-09-03,17.00298,STOP,False,-152.427566,-0.08275831,s6ps-302e3a382d956a99,-1.012171,s6setup-a5af3481b58184abfee7,2025-08-28,0.035421,17.02,ORIGINAL,0.8855700000000001,78,s6trade-cb8a1361f953552652f7
NONE,BOX_FORMING,KEY_CANDIDATE,000948,10.0,False,2025-03-12,20.2202,2025-03-17,19.20078,STOP,False,-112.941464,-0.05585576,s6ps-302e3a382d956a99,-1.019216,s6setup-f3248b6185008172b7e7,2025-03-11,0.039421,19.22,ORIGINAL,0.99946,76,s6trade-1ec9a0c9c97aeaf7ff02
BOX_COMPACT_READY,BOX_SUPPORT_READY,KEY_CANDIDATE,000989,10.0,True,2025-08-04,11.224213,2025-09-01,10.991997,MAX_HOLDING,False,-33.793412,-0.0301076,s6ps-302e3a382d956a99,-0.366148,s6setup-d71494a0ad33658203ce,2025-08-01,0.022216,10.59,BOX,0.571816,76,s6trade-7ce0bbb35f48dd57edc4
NONE,BOX_FORMING,KEY_CANDIDATE,001267,10.0,False,2025-12-30,21.278257,2025-12-31,21.815163,MAX_HOLDING,False,42.556748,0.02000011,s6ps-302e3a382d956a99,0.448072,s6setup-f78ca79d8d4e27cb2f00,2025-12-29,0.043093,20.08,ORIGINAL,1.133851,86,s6trade-4951aa0e22d09ae0b773
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,002036,10.0,False,2025-03-06,12.89288,2025-03-21,12.11787,STOP,False,-88.131898,-0.06835703,s6ps-302e3a382d956a99,-1.0159,s6setup-cfc0e0c32a83cacd1e5f,2025-03-05,0.025011,12.13,BOX,0.630905,75,s6trade-dec435858e75d75f767f
NONE,BOX_SUPPORT_READY,KEY_CANDIDATE,002215,10.0,False,2025-06-18,10.73072,2025-06-19,10.27971,STOP,False,-55.635993,-0.0518474,s6ps-302e3a382d956a99,-1.023348,s6setup-20e2233bacc25d90b400,2025-06-17,0.02101,10.29,BOX,0.534995,80,s6trade-efa9e2fa84ae89308558
NONE,BOX_FORMING,WATCH_CANDIDATE,002317,10.0,False,2025-07-02,15.40539,2025-07-29,18.96102,TARGET,False,344.580585,0.22367534,s6ps-302e3a382d956a99,4.36065,s6setup-7cf3aadef71694a02d4f,2025-07-01,0.034366,14.59,ORIGINAL,0.982417,76,s6trade-639c75d89dfc597de0e5
NONE,BOX_FORMING,KEY_CANDIDATE,002378,10.0,False,2025-09-15,13.39338,2025-09-18,12.17781,STOP,False,-132.191469,-0.09869911,s6ps-302e3a382d956a99,-1.01013,s6setup-e2515f2775c8754d2421,2025-09-12,0.025571,12.19,ORIGINAL,0.634462,81,s6trade-1f8c5d7521f1d23a3eca
NONE,BOX_FORMING,WATCH_CANDIDATE,002414,10.0,True,2025-03-19,8.41841,2025-03-24,8.0919,STOP,False,-43.072104,-0.05116418,s6ps-302e3a382d956a99,-1.025439,s6setup-7d36dc8c30d797baef44,2025-03-18,0.01651,8.1,ORIGINAL,0.421105,90,s6trade-845044da96b2339c5963
BOX_COMPACT_READY,BOX_STABLE,WATCH_CANDIDATE,002414,10.0,True,2025-03-20,8.4084,2025-03-24,8.08191,STOP,False,-43.069582,-0.05122209,s6ps-302e3a382d956a99,-1.025408,s6setup-55801ea87be00e1031d2,2025-03-19,0.01649,8.09,BOTH,0.420585,69,s6trade-1803a5965de351078722
BOX_COMPACT_READY,BOX_SUPPORT_READY,WATCH_CANDIDATE,002428,10.0,True,2025-09-11,27.16714,2025-10-17,26.78319,MAX_HOLDING,False,-49.788104,-0.01832659,s6ps-302e3a382d956a99,-0.235966,s6setup-dc2887ba620b0c0442bf,2025-09-10,0.05395,25.54,BOX,1.393109,68,s6trade-a97aca15f4fe301a610a
NONE,BOX_FORMING,WATCH_CANDIDATE,002518,10.0,False,2025-03-11,27.57755,2025-03-24,26.30367,STOP,False,-138.757077,-0.05031523,s6ps-302e3a382d956a99,-1.021105,s6setup-f206f39667a370bf3be5,2025-03-10,0.053881,26.33,ORIGINAL,1.369065,74,s6trade-1217a3537eb1e3abe78c
