audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],000063,2025-09-16,FILLED_FROZEN_PLAN,s6order-0f5516b3b9e5d0b974d7,s6ps-71bdb4dbb9c5c096,s6setup-2a2011176a13f3224d4c,2025-09-11,FILLED,BOX
[],000063,2025-10-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-a711b036dbf9f1d22f68,s6ps-71bdb4dbb9c5c096,s6setup-9c59ec914cec250db2fc,2025-10-27,CANCELLED,BOX
[],000338,2025-11-28,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-739e6d5d6083103cdf36,s6ps-71bdb4dbb9c5c096,s6setup-7540ae0a7a3f5ceb9f3a,2025-11-25,CANCELLED,BOX
[],000426,2025-09-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-9792a62725efd10af4a3,s6ps-71bdb4dbb9c5c096,s6setup-fb9f1459e01656d3a6f2,2025-09-25,CANCELLED,BOX
[],000510,2025-12-23,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-cbcada325a0fb1d7f523,s6ps-71bdb4dbb9c5c096,s6setup-e0e5cd45beeb94e21841,2025-12-18,CANCELLED,BOX
[],000519,2025-07-17,FILLED_FROZEN_PLAN,s6order-0dc7743f1581f8e617f8,s6ps-71bdb4dbb9c5c096,s6setup-d125da2ab6d89687d74c,2025-07-14,FILLED,BOX
[],000561,2025-09-04,FILLED_FROZEN_PLAN,s6order-e92aac93e07ab3c1fcb2,s6ps-71bdb4dbb9c5c096,s6setup-4e4bdb4f02b2642cc0dd,2025-09-01,FILLED,BOX
[],000630,2024-04-02,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-15920c98d20a8ff734d4,s6ps-71bdb4dbb9c5c096,s6setup-c91fd7b614b740b9d6bf,2024-03-28,CANCELLED,BOX
[],000630,2025-10-29,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-c2efdb1e433fb2de9a4c,s6ps-71bdb4dbb9c5c096,s6setup-60d6fd6b2c2cbebf8e4f,2025-10-24,CANCELLED,BOTH
[],000630,2025-10-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-4af702bffec95185e390,s6ps-71bdb4dbb9c5c096,s6setup-8932d40eff99a7ea0742,2025-10-27,CANCELLED,BOTH
[],000722,2025-06-10,FILLED_FROZEN_PLAN,s6order-003d62c406c0550fb262,s6ps-71bdb4dbb9c5c096,s6setup-73ae5bb71010ee426865,2025-06-05,FILLED,BOX
[],000758,2025-08-12,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-bb653b7d0db2ec40ca83,s6ps-71bdb4dbb9c5c096,s6setup-993b4afe570f8c7d2858,2025-08-07,CANCELLED,BOX
[],000766,2025-07-04,FILLED_FROZEN_PLAN,s6order-5d8a1c15006fd4c53a45,s6ps-71bdb4dbb9c5c096,s6setup-59623e563d0da8f46a90,2025-07-01,FILLED,BOX
[],000777,2024-05-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-a69f35d5b6d5929b747e,s6ps-71bdb4dbb9c5c096,s6setup-e8d29abdf82f10859d35,2024-05-13,CANCELLED,BOTH
[],000777,2024-05-17,FILLED_FROZEN_PLAN,s6order-aaed9bb0309b4566d258,s6ps-71bdb4dbb9c5c096,s6setup-2d242922bc99ecab9776,2024-05-14,FILLED,BOX
[],000796,2025-09-30,FILLED_FROZEN_PLAN,s6order-5c2f26877f8bca8ae679,s6ps-71bdb4dbb9c5c096,s6setup-bba77eab5c130632d0e3,2025-09-25,FILLED,BOX
[],000829,2024-11-19,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-c97ad8cc6a8fe813b240,s6ps-71bdb4dbb9c5c096,s6setup-085cfe806f3931768d77,2024-11-14,CANCELLED,BOTH
[],000830,2025-12-03,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-14473b46733fdae0ea30,s6ps-71bdb4dbb9c5c096,s6setup-6fb24fe91307e74ac3cb,2025-11-28,CANCELLED,BOX
[],000833,2025-12-08,FILLED_FROZEN_PLAN,s6order-a96eeaaef64b0da2fa02,s6ps-71bdb4dbb9c5c096,s6setup-c7e1dcf42328ff372e2a,2025-12-03,FILLED,BOX
[],000859,2025-06-12,FILLED_FROZEN_PLAN,s6order-4bea2e591c513d50e9b2,s6ps-71bdb4dbb9c5c096,s6setup-1f3480720eb9c5570b71,2025-06-09,FILLED,BOTH
[],000876,2025-04-25,FILLED_FROZEN_PLAN,s6order-661cd375289e682ef260,s6ps-71bdb4dbb9c5c096,s6setup-56ab7284cae3d15470aa,2025-04-22,FILLED,BOX
[],000878,2025-10-29,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-7d11e6fee613894dfad7,s6ps-71bdb4dbb9c5c096,s6setup-b188f38397ff23ca20f3,2025-10-24,CANCELLED,BOX
[],000878,2025-10-30,FILLED_FROZEN_PLAN,s6order-28fa31901a580c8d00f8,s6ps-71bdb4dbb9c5c096,s6setup-c4676972ef6a87215a47,2025-10-27,FILLED,BOX
[],000880,2025-01-21,FILLED_FROZEN_PLAN,s6order-46314bd6aa2187190aa1,s6ps-71bdb4dbb9c5c096,s6setup-ccd4a3b524c92dc7ab88,2025-01-16,FILLED,BOX
[],000880,2025-01-22,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-bf6d13201be2bc000baf,s6ps-71bdb4dbb9c5c096,s6setup-a3ad376dc0e748e164d4,2025-01-17,CANCELLED,BOX
[],000887,2025-09-12,FILLED_FROZEN_PLAN,s6order-77cee3a544c7a6335112,s6ps-71bdb4dbb9c5c096,s6setup-713d8c6af9bd6e72126e,2025-09-09,FILLED,BOX
[],000892,2025-11-20,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-a8e577db0ca6a913b3c1,s6ps-71bdb4dbb9c5c096,s6setup-1c1f7a036cb2a694a431,2025-11-17,CANCELLED,BOX
[],000901,2025-09-01,FILLED_FROZEN_PLAN,s6order-de3004d645602be6e079,s6ps-71bdb4dbb9c5c096,s6setup-91fdaaeb5fd78ee71f25,2025-08-27,FILLED,BOX
[],000932,2025-08-11,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-789fbed1d73c2b74e9bb,s6ps-71bdb4dbb9c5c096,s6setup-e112473ba7fccbb736ed,2025-08-06,CANCELLED,BOX
