audit_tags,brooks_setup_types,brooks_status,code,entry_archetype,expire_date,fill_reason,multi_path_confirmed,order_id,parameter_set_id,passed_path_count,setup_id,signal_date,status,tail_path,tail_path_summary,tail_paths,tail_primary_path
[],[],BROOKS_DISABLED,002119,SUPPORT_PULLBACK,2025-02-14,FILLED_FROZEN_PLAN,False,s6order-0627cec99bfce8d76dd2,s6ps-72c95a6c2894ac19,1,s6setup-d8f9d383f0ff95ffdaa2,2025-02-11,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,002152,SUPPORT_PULLBACK,2025-03-14,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-654e546e2b18077f22ab,s6ps-72c95a6c2894ac19,1,s6setup-45e7b8eb72a966c7dc57,2025-03-11,CANCELLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,002212,SUPPORT_PULLBACK,2025-03-12,FILLED_FROZEN_PLAN,False,s6order-666a21b9843dacc8ca93,s6ps-72c95a6c2894ac19,1,s6setup-97483d727765d077b50f,2025-03-07,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,002414,SUPPORT_PULLBACK,2025-03-21,FILLED_FROZEN_PLAN,False,s6order-fdffb207892ace4b4485,s6ps-72c95a6c2894ac19,1,s6setup-8f64edbb7bce82b164b1,2025-03-18,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,002517,SUPPORT_PULLBACK,2025-03-18,FILLED_FROZEN_PLAN,False,s6order-c492bcb5e47c4c30a5f9,s6ps-72c95a6c2894ac19,1,s6setup-713756b374ad5fcbbcef,2025-03-13,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,002664,SUPPORT_PULLBACK,2025-03-13,FILLED_FROZEN_PLAN,False,s6order-5ace206aff9e50502008,s6ps-72c95a6c2894ac19,1,s6setup-f6c6b3c211a20f39e20a,2025-03-10,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,002837,SUPPORT_PULLBACK,2025-01-21,FILLED_FROZEN_PLAN,False,s6order-cfbaf7739f72087c7462,s6ps-72c95a6c2894ac19,1,s6setup-8c7a5a5e95c7e9a16b6b,2025-01-16,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300124,SUPPORT_PULLBACK,2025-03-14,FILLED_FROZEN_PLAN,False,s6order-2d2f0864d61b476b1aed,s6ps-72c95a6c2894ac19,1,s6setup-fcbc2df0539e1e890689,2025-03-11,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300148,SUPPORT_PULLBACK,2025-03-24,FILLED_FROZEN_PLAN,False,s6order-6b677a077a9efa1bdae8,s6ps-72c95a6c2894ac19,1,s6setup-05eaaab8e2dad0fe767b,2025-03-19,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300229,SUPPORT_PULLBACK,2025-03-03,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-4812b65b2902baaa90e9,s6ps-72c95a6c2894ac19,1,s6setup-07d93bb4aa6b208b42fc,2025-02-26,CANCELLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300276,SUPPORT_PULLBACK,2025-03-17,FILLED_FROZEN_PLAN,False,s6order-73cf40291ea298e628a7,s6ps-72c95a6c2894ac19,1,s6setup-477cbb47deb12895d2eb,2025-03-12,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300307,SUPPORT_PULLBACK,2025-03-11,FILLED_FROZEN_PLAN,False,s6order-867c7c451bff99e8fc20,s6ps-72c95a6c2894ac19,1,s6setup-85f0300d6c391bedb811,2025-03-06,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300433,SUPPORT_PULLBACK,2025-02-28,FILLED_FROZEN_PLAN,False,s6order-d9fd60e0c5329dda1af3,s6ps-72c95a6c2894ac19,1,s6setup-6fd44620e71703dd5869,2025-02-25,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300476,SUPPORT_PULLBACK,2025-02-26,FILLED_FROZEN_PLAN,False,s6order-6d5b433f959dda4d53e9,s6ps-72c95a6c2894ac19,1,s6setup-11dbbafba14f90677417,2025-02-21,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300499,SUPPORT_PULLBACK,2025-01-21,FILLED_FROZEN_PLAN,False,s6order-acb8d51647afacdef8f0,s6ps-72c95a6c2894ac19,1,s6setup-768ce634b91bc906129f,2025-01-16,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300570,SUPPORT_PULLBACK,2025-02-21,FILLED_FROZEN_PLAN,False,s6order-65497ccc50e989a42073,s6ps-72c95a6c2894ac19,1,s6setup-3986c8745c0b371174d6,2025-02-18,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300634,SUPPORT_PULLBACK,2025-02-28,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-6647e0bf84b7007a065d,s6ps-72c95a6c2894ac19,1,s6setup-3d530d52c080c84bda85,2025-02-25,CANCELLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300672,SUPPORT_PULLBACK,2025-03-12,FILLED_FROZEN_PLAN,False,s6order-f6de791b63d6df9d155a,s6ps-72c95a6c2894ac19,1,s6setup-32dc82a04fb7ced0284e,2025-03-07,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300708,SUPPORT_PULLBACK,2025-01-27,FILLED_FROZEN_PLAN,False,s6order-d9cc455d536aec0268d1,s6ps-72c95a6c2894ac19,1,s6setup-b2367d9b2268a7686973,2025-01-22,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300925,SUPPORT_PULLBACK,2025-03-03,FILLED_FROZEN_PLAN,False,s6order-5fd90b3170c569a7e800,s6ps-72c95a6c2894ac19,1,s6setup-d8b6e59064233c9bba19,2025-02-26,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,300996,SUPPORT_PULLBACK,2025-02-28,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-4ce5b64a62a223ffa58e,s6ps-72c95a6c2894ac19,1,s6setup-c7f111577c8329558539,2025-02-25,CANCELLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,301018,SUPPORT_PULLBACK,2025-03-13,FILLED_FROZEN_PLAN,False,s6order-0b2ca11b33b106a74de4,s6ps-72c95a6c2894ac19,1,s6setup-cc392f2d0222a4fe9096,2025-03-10,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,600143,SUPPORT_PULLBACK,2025-03-12,FILLED_FROZEN_PLAN,False,s6order-143eacc0a34c9bde83fd,s6ps-72c95a6c2894ac19,1,s6setup-6092a0709aeb7d5bf7ef,2025-03-07,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,600183,SUPPORT_PULLBACK,2025-02-18,FILLED_FROZEN_PLAN,False,s6order-2db3acf753e3189f70d1,s6ps-72c95a6c2894ac19,1,s6setup-1b4b8c32e05f3a73b56c,2025-02-13,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,601728,SUPPORT_PULLBACK,2025-03-12,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-f6d8962067fec2bf3e65,s6ps-72c95a6c2894ac19,1,s6setup-9c3c932f924d9dc6357f,2025-03-07,CANCELLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,603496,SUPPORT_PULLBACK,2025-03-24,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-9ee859d3ee6c4ade60d5,s6ps-72c95a6c2894ac19,1,s6setup-642faf6c0e4cc25f9988,2025-03-19,CANCELLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,603501,SUPPORT_PULLBACK,2025-03-12,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-672598590e4ab237c6ed,s6ps-72c95a6c2894ac19,1,s6setup-a43eeceb9936f8761888,2025-03-07,CANCELLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,603803,SUPPORT_PULLBACK,2025-02-28,FILLED_FROZEN_PLAN,False,s6order-b8620238f4aefd210e7c,s6ps-72c95a6c2894ac19,1,s6setup-c56d5e5e2670936dee5a,2025-02-25,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,603881,SUPPORT_PULLBACK,2025-02-05,FILLED_FROZEN_PLAN,False,s6order-e0124a95c47ce9202e1c,s6ps-72c95a6c2894ac19,1,s6setup-769dbc0aa6c781e2a020,2025-01-23,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_DISABLED,603915,SUPPORT_PULLBACK,2025-03-13,CANCEL_OPEN_BELOW_BUY_ZONE,False,s6order-c0666df2442e18b81a34,s6ps-72c95a6c2894ac19,1,s6setup-a44b5230d69a888b9c71,2025-03-10,CANCELLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
