evaluation_date,code,name,setup_id,candidate_type,candidate_event_id,candidate_event_sequence,first_candidate_date,first_executable_date,is_first_candidate_event,is_first_executable_event,entry_archetype
2024-03-18,300210,森远股份,s6setup-86918b98cb309eb4bbcc,WATCH_CANDIDATE,s6event-13cf94fd89b294dda261,1,2024-03-18,2024-03-18,True,True,SUPPORT_PULLBACK
2024-03-19,300210,森远股份,s6setup-179339c621cd4c0f40fb,WATCH_CANDIDATE,s6event-13cf94fd89b294dda261,2,2024-03-18,2024-03-18,False,False,SUPPORT_PULLBACK
2024-03-21,601127,赛力斯,s6setup-d3a8809dcb194c286c7f,KEY_CANDIDATE,s6event-f6d2eaf75d31265104a8,1,2024-03-21,,True,False,NONE
2024-03-22,300210,森远股份,s6setup-34ead3d1be0fa4bc244f,WATCH_CANDIDATE,s6event-13cf94fd89b294dda261,3,2024-03-18,2024-03-18,False,False,SUPPORT_PULLBACK
2024-03-22,601127,赛力斯,s6setup-3fb8101e69f6778c6f0d,WATCH_CANDIDATE,s6event-f6d2eaf75d31265104a8,2,2024-03-21,,False,False,NONE
2024-03-25,002463,沪电股份,s6setup-d6af2725e1ec60f512e7,WATCH_CANDIDATE,s6event-27f1ed90cf1b7cd9f677,1,2024-03-25,2024-03-25,True,True,SUPPORT_PULLBACK
2024-03-25,601127,赛力斯,s6setup-437d28e1721ada013542,WATCH_CANDIDATE,s6event-f6d2eaf75d31265104a8,3,2024-03-21,2024-03-25,False,True,SUPPORT_PULLBACK
2024-03-25,688278,特宝生物,s6setup-f06222f7a04b3347b3a9,WATCH_CANDIDATE,s6event-36f7c28e98b3e88c964f,1,2024-03-25,2024-03-25,True,True,SUPPORT_PULLBACK
2024-03-26,688278,特宝生物,s6setup-f06222f7a04b3347b3a9,WATCH_CANDIDATE,s6event-36f7c28e98b3e88c964f,2,2024-03-25,2024-03-25,False,False,SUPPORT_PULLBACK
2024-03-28,000630,铜陵有色,s6setup-c91fd7b614b740b9d6bf,WATCH_CANDIDATE,s6event-a80c39bf7b6ec122ea5f,1,2024-03-28,,True,False,NONE
2024-03-29,000630,铜陵有色,s6setup-c91fd7b614b740b9d6bf,WATCH_CANDIDATE,s6event-a80c39bf7b6ec122ea5f,2,2024-03-28,,False,False,NONE
2024-03-29,300781,因赛集团,s6setup-6d464b8c5b5936e80a75,WATCH_CANDIDATE,s6event-93a30c044b49694ac073,1,2024-03-29,2024-03-29,True,True,SUPPORT_PULLBACK
2024-04-01,300781,因赛集团,s6setup-6d464b8c5b5936e80a75,WATCH_CANDIDATE,s6event-93a30c044b49694ac073,2,2024-03-29,2024-03-29,False,False,SUPPORT_PULLBACK
2024-04-01,601168,西部矿业,s6setup-a8d44e8860c7bc613f58,KEY_CANDIDATE,s6event-aad69ab76914bd642f44,1,2024-04-01,,True,False,NONE
2024-04-12,600160,巨化股份,s6setup-b4db41ce30d046a12733,WATCH_CANDIDATE,s6event-c62e28e1db6b70bb3d10,1,2024-04-12,2024-04-12,True,True,SUPPORT_PULLBACK
2024-04-15,600160,巨化股份,s6setup-b4db41ce30d046a12733,WATCH_CANDIDATE,s6event-c62e28e1db6b70bb3d10,2,2024-04-12,2024-04-12,False,False,SUPPORT_PULLBACK
2024-05-06,000426,兴业银锡,s6setup-d2447255d82b4e7de908,WATCH_CANDIDATE,s6event-ade88a7e3340f0c608e4,1,2024-05-06,2024-05-06,True,True,SUPPORT_PULLBACK
2024-05-13,000777,中核科技,s6setup-e8d29abdf82f10859d35,WATCH_CANDIDATE,s6event-d9a68bad3c5ecef6c2eb,1,2024-05-13,2024-05-13,True,True,SUPPORT_PULLBACK
2024-05-14,000777,中核科技,s6setup-2d242922bc99ecab9776,WATCH_CANDIDATE,s6event-d9a68bad3c5ecef6c2eb,2,2024-05-13,2024-05-13,False,False,SUPPORT_PULLBACK
2024-05-15,600160,巨化股份,s6setup-f9df34d7948c1f03a54a,WATCH_CANDIDATE,s6event-c62e28e1db6b70bb3d10,3,2024-04-12,2024-04-12,False,False,NONE
2024-05-17,300067,安诺其,s6setup-be0b960820e1965a8848,WATCH_CANDIDATE,s6event-2a0f1b26a03dc3320251,1,2024-05-17,2024-05-17,True,True,SUPPORT_PULLBACK
2024-05-30,000933,神火股份,s6setup-7e67e50667dcc64f113d,WATCH_CANDIDATE,s6event-8047ef9f52333fc5da81,1,2024-05-30,,True,False,NONE
2024-05-31,000933,神火股份,s6setup-7e67e50667dcc64f113d,WATCH_CANDIDATE,s6event-8047ef9f52333fc5da81,2,2024-05-30,2024-05-31,False,True,SUPPORT_PULLBACK
2024-06-25,600312,平高电气,s6setup-c72bafc2d96134d3950c,WATCH_CANDIDATE,s6event-f1fd56ab48217c0e7639,1,2024-06-25,,True,False,NONE
2024-06-26,600312,平高电气,s6setup-0c6f98c23df38c4e22a8,WATCH_CANDIDATE,s6event-f1fd56ab48217c0e7639,2,2024-06-25,2024-06-26,False,True,SUPPORT_PULLBACK
2024-06-27,300552,万集科技,s6setup-05e745ce4e00e98baaf2,WATCH_CANDIDATE,s6event-b66e302502c396138c1c,1,2024-06-27,,True,False,NONE
2024-06-27,601138,工业富联,s6setup-30949657f005e4e7ad28,WATCH_CANDIDATE,s6event-3c06f3afe185c23baf5b,1,2024-06-27,,True,False,NONE
2024-06-28,601138,工业富联,s6setup-30949657f005e4e7ad28,WATCH_CANDIDATE,s6event-3c06f3afe185c23baf5b,2,2024-06-27,2024-06-28,False,True,SUPPORT_PULLBACK
2024-07-01,601138,工业富联,s6setup-30949657f005e4e7ad28,WATCH_CANDIDATE,s6event-3c06f3afe185c23baf5b,3,2024-06-27,2024-06-28,False,False,NONE
2024-07-02,601138,工业富联,s6setup-30949657f005e4e7ad28,WATCH_CANDIDATE,s6event-3c06f3afe185c23baf5b,4,2024-06-27,2024-06-28,False,False,SUPPORT_PULLBACK
2024-07-03,002463,沪电股份,s6setup-36dae2d212a409c0fe1f,WATCH_CANDIDATE,s6event-b3c87a794a9222581218,1,2024-07-03,2024-07-03,True,True,SUPPORT_PULLBACK
2024-07-04,002463,沪电股份,s6setup-36dae2d212a409c0fe1f,WATCH_CANDIDATE,s6event-b3c87a794a9222581218,2,2024-07-03,2024-07-03,False,False,SUPPORT_PULLBACK
2024-07-05,002463,沪电股份,s6setup-5a1263c01542aa63ccf8,WATCH_CANDIDATE,s6event-b3c87a794a9222581218,3,2024-07-03,2024-07-03,False,False,NONE
2024-07-08,002463,沪电股份,s6setup-36dae2d212a409c0fe1f,WATCH_CANDIDATE,s6event-b3c87a794a9222581218,4,2024-07-03,2024-07-03,False,False,SUPPORT_PULLBACK
2024-07-15,600312,平高电气,s6setup-e9a560efcad557642ac1,WATCH_CANDIDATE,s6event-f1fd56ab48217c0e7639,3,2024-06-25,2024-06-26,False,False,NONE
2024-09-19,600418,江淮汽车,s6setup-9856079f5e2d0d43fc87,WATCH_CANDIDATE,s6event-31099867eed08725ba61,1,2024-09-19,,True,False,NONE
2024-10-23,002142,宁波银行,s6setup-97cfe18a693f17ebc4f6,WATCH_CANDIDATE,s6event-a5acafd9c44265c25654,1,2024-10-23,,True,False,NONE
2024-10-24,002142,宁波银行,s6setup-1e29f4e0d840d2523b33,WATCH_CANDIDATE,s6event-a5acafd9c44265c25654,2,2024-10-23,2024-10-24,False,True,SUPPORT_PULLBACK
2024-10-25,002142,宁波银行,s6setup-502a5dcb540786350afb,WATCH_CANDIDATE,s6event-a5acafd9c44265c25654,3,2024-10-23,2024-10-24,False,False,SUPPORT_PULLBACK
2024-10-25,300925,法本信息,s6setup-d30fce650daba787ff76,WATCH_CANDIDATE,s6event-30c6891ca5ec417fab68,1,2024-10-25,2024-10-25,True,True,SUPPORT_PULLBACK
2024-10-25,601186,中国铁建,s6setup-af11af9996de7f907a8d,WATCH_CANDIDATE,s6event-22abb3eb478dbb2950ea,1,2024-10-25,,True,False,NONE
2024-10-25,601318,中国平安,s6setup-dd9d59b135b21a91db46,WATCH_CANDIDATE,s6event-73fe630f396084a35fea,1,2024-10-25,2024-10-25,True,True,SUPPORT_PULLBACK
2024-10-25,601336,新华保险,s6setup-ae409aecc4671570a769,KEY_CANDIDATE,s6event-db89ee5348405801f24e,1,2024-10-25,,True,False,NONE
2024-10-25,688090,瑞松科技,s6setup-f5b842b9eed62e75172e,WATCH_CANDIDATE,s6event-7846be0a0c0946182394,1,2024-10-25,2024-10-25,True,True,SUPPORT_PULLBACK
2024-10-28,002371,北方华创,s6setup-f52b8d8051a025bd2150,WATCH_CANDIDATE,s6event-2f70f9e7560974239f43,1,2024-10-28,,True,False,NONE
2024-10-28,300293,蓝英装备,s6setup-9bd84923404891e10b11,WATCH_CANDIDATE,s6event-65b03df8846380bd20fc,1,2024-10-28,,True,False,NONE
2024-10-28,300709,精研科技,s6setup-5b2041e9a58ee0c21425,WATCH_CANDIDATE,s6event-c847e2286a4d9449dd22,1,2024-10-28,,True,False,NONE
2024-10-28,300750,宁德时代,s6setup-9e65aa9fcaf21c87e545,KEY_CANDIDATE,s6event-5544629afb4ed516095b,1,2024-10-28,2024-10-28,True,True,SUPPORT_PULLBACK
2024-10-28,601186,中国铁建,s6setup-af11af9996de7f907a8d,KEY_CANDIDATE,s6event-22abb3eb478dbb2950ea,2,2024-10-25,2024-10-28,False,True,SUPPORT_PULLBACK
