experiment_id,signal_date,code,name,setup_id,candidate_event_id,candidate_event_sequence,entry_archetype,signal_selection_mode,entry_mode,status,fill_reason,expire_date,audit_tags
S6_EXEC_E0_LEGACY,2024-03-18,300210,森远股份,s6setup-86918b98cb309eb4bbcc,s6event-13cf94fd89b294dda261,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-03-21,[]
S6_EXEC_E0_LEGACY,2024-03-19,300210,森远股份,s6setup-179339c621cd4c0f40fb,s6event-13cf94fd89b294dda261,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-03-22,[]
S6_EXEC_E0_LEGACY,2024-03-22,300210,森远股份,s6setup-34ead3d1be0fa4bc244f,s6event-13cf94fd89b294dda261,3,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-03-27,[]
S6_EXEC_E0_LEGACY,2024-03-25,002463,沪电股份,s6setup-d6af2725e1ec60f512e7,s6event-27f1ed90cf1b7cd9f677,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-03-28,[]
S6_EXEC_E0_LEGACY,2024-03-25,601127,赛力斯,s6setup-437d28e1721ada013542,s6event-f6d2eaf75d31265104a8,3,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_BELOW_BUY_ZONE,2024-03-28,[]
S6_EXEC_E0_LEGACY,2024-03-25,688278,特宝生物,s6setup-f06222f7a04b3347b3a9,s6event-36f7c28e98b3e88c964f,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-03-28,[]
S6_EXEC_E0_LEGACY,2024-03-29,300781,因赛集团,s6setup-6d464b8c5b5936e80a75,s6event-93a30c044b49694ac073,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_STRUCTURE_FAILED_BEFORE_ENTRY,2024-04-03,[]
S6_EXEC_E0_LEGACY,2024-04-12,600160,巨化股份,s6setup-b4db41ce30d046a12733,s6event-c62e28e1db6b70bb3d10,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_BELOW_BUY_ZONE,2024-04-17,[]
S6_EXEC_E0_LEGACY,2024-05-06,000426,兴业银锡,s6setup-d2447255d82b4e7de908,s6event-ade88a7e3340f0c608e4,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-05-09,[]
S6_EXEC_E0_LEGACY,2024-05-13,000777,中核科技,s6setup-e8d29abdf82f10859d35,s6event-d9a68bad3c5ecef6c2eb,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-05-16,[]
S6_EXEC_E0_LEGACY,2024-05-14,000777,中核科技,s6setup-2d242922bc99ecab9776,s6event-d9a68bad3c5ecef6c2eb,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_BELOW_BUY_ZONE,2024-05-17,[]
S6_EXEC_E0_LEGACY,2024-05-17,300067,安诺其,s6setup-be0b960820e1965a8848,s6event-2a0f1b26a03dc3320251,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-05-22,[]
S6_EXEC_E0_LEGACY,2024-05-31,000933,神火股份,s6setup-7e67e50667dcc64f113d,s6event-8047ef9f52333fc5da81,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-06-05,[]
S6_EXEC_E0_LEGACY,2024-06-26,600312,平高电气,s6setup-0c6f98c23df38c4e22a8,s6event-f1fd56ab48217c0e7639,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-07-01,[]
S6_EXEC_E0_LEGACY,2024-06-28,601138,工业富联,s6setup-30949657f005e4e7ad28,s6event-3c06f3afe185c23baf5b,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-07-03,[]
S6_EXEC_E0_LEGACY,2024-07-03,002463,沪电股份,s6setup-36dae2d212a409c0fe1f,s6event-b3c87a794a9222581218,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-07-08,[]
S6_EXEC_E0_LEGACY,2024-10-24,002142,宁波银行,s6setup-1e29f4e0d840d2523b33,s6event-a5acafd9c44265c25654,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-10-29,[]
S6_EXEC_E0_LEGACY,2024-10-25,002142,宁波银行,s6setup-502a5dcb540786350afb,s6event-a5acafd9c44265c25654,3,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-10-30,[]
S6_EXEC_E0_LEGACY,2024-10-25,300925,法本信息,s6setup-d30fce650daba787ff76,s6event-30c6891ca5ec417fab68,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-10-30,[]
S6_EXEC_E0_LEGACY,2024-10-25,601318,中国平安,s6setup-dd9d59b135b21a91db46,s6event-73fe630f396084a35fea,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-10-30,[]
S6_EXEC_E0_LEGACY,2024-10-25,688090,瑞松科技,s6setup-f5b842b9eed62e75172e,s6event-7846be0a0c0946182394,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-10-30,[]
S6_EXEC_E0_LEGACY,2024-10-28,300750,宁德时代,s6setup-9e65aa9fcaf21c87e545,s6event-5544629afb4ed516095b,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-10-31,[]
S6_EXEC_E0_LEGACY,2024-10-28,601186,中国铁建,s6setup-af11af9996de7f907a8d,s6event-22abb3eb478dbb2950ea,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-10-31,[]
S6_EXEC_E0_LEGACY,2024-10-28,688658,悦康药业,s6setup-1597925ea0841ae92584,s6event-7b6d8f049b22a60f029d,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-10-31,[]
S6_EXEC_E0_LEGACY,2024-10-29,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,s6event-65b03df8846380bd20fc,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-11-01,[]
S6_EXEC_E0_LEGACY,2024-10-29,300709,精研科技,s6setup-1a47687228730efc7c66,s6event-c847e2286a4d9449dd22,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-11-01,[]
S6_EXEC_E0_LEGACY,2024-10-29,601336,新华保险,s6setup-96f5e92fb6957b29f889,s6event-db89ee5348405801f24e,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_STRUCTURE_FAILED_BEFORE_ENTRY,2024-11-01,[]
S6_EXEC_E0_LEGACY,2024-10-31,000768,中航西飞,s6setup-bd4b5f1a5e26f455d992,s6event-421adacf093169439f79,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-11-05,[]
S6_EXEC_E0_LEGACY,2024-10-31,300139,晓程科技,s6setup-03ac53b95d0ed4d67393,s6event-69df3a7c103f9a68ab46,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,FILLED,FILLED_FROZEN_PLAN,2024-11-05,[]
S6_EXEC_E0_LEGACY,2024-10-31,300469,信息发展,s6setup-972ecff6bc6b3c765fc4,s6event-d9bc89faedf09307f2bc,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,CANCELLED,CANCEL_OPEN_ABOVE_BUY_ZONE,2024-11-05,[]
