experiment_id,signal_date,entry_date,exit_date,code,name,setup_id,candidate_event_id,candidate_event_sequence,entry_archetype,signal_selection_mode,entry_mode,entry_price,exit_price,exit_reason,net_return,r_multiple,net_profit,commission,tax,slippage
S6_EXEC_E0_LEGACY,2024-03-18,2024-03-19,2024-03-27,300210,森远股份,s6setup-86918b98cb309eb4bbcc,s6event-13cf94fd89b294dda261,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,12.8128,11.40858,STOP,-0.11786389,-1.008199,-151.016645,10.0,0.59465,0.024221
S6_EXEC_E0_LEGACY,2024-03-19,2024-03-20,2024-03-26,300210,森远股份,s6setup-179339c621cd4c0f40fb,s6event-13cf94fd89b294dda261,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,12.80279,11.62836,STOP,-0.10001636,-1.01001,-128.048845,10.0,0.605849,0.024431
S6_EXEC_E0_LEGACY,2024-03-22,2024-03-25,2024-03-26,300210,森远股份,s6setup-34ead3d1be0fa4bc244f,s6event-13cf94fd89b294dda261,3,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,12.96295,11.93805,STOP,-0.08725776,-1.011797,-113.111798,10.0,0.6218039999999999,0.024901
S6_EXEC_E0_LEGACY,2024-05-06,2024-05-07,2024-06-04,000426,兴业银锡,s6setup-d2447255d82b4e7de908,s6event-ade88a7e3340f0c608e4,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,13.148135,14.180805,MAX_HOLDING,0.07037548,1.277843,92.530631,10.0,0.736369,0.027329
S6_EXEC_E0_LEGACY,2024-05-13,2024-05-14,2024-05-15,000777,中核科技,s6setup-e8d29abdf82f10859d35,s6event-d9a68bad3c5ecef6c2eb,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,18.054036,17.15283,STOP,-0.05595062,-1.019422,-101.013451,10.0,0.892849,0.035207
S6_EXEC_E0_LEGACY,2024-05-17,2024-05-20,2024-05-22,300067,安诺其,s6setup-be0b960820e1965a8848,s6event-2a0f1b26a03dc3320251,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,4.83483,4.44555,STOP,-0.10167795,-1.011564,-49.15956,10.0,0.231558,0.00928
S6_EXEC_E0_LEGACY,2024-05-31,2024-06-03,2024-06-04,000933,神火股份,s6setup-7e67e50667dcc64f113d,s6event-8047ef9f52333fc5da81,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,21.40138,20.61936,STOP,-0.04171459,-1.027109,-89.274979,10.0,1.0729890000000002,0.042021
S6_EXEC_E0_LEGACY,2024-06-28,2024-07-01,2024-07-05,601138,工业富联,s6setup-30949657f005e4e7ad28,s6event-3c06f3afe185c23baf5b,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,25.88586,25.12485,STOP,-0.0337668,-1.034178,-87.408266,10.0,1.307253,0.051011
S6_EXEC_E0_LEGACY,2024-10-24,2024-10-25,2024-11-04,002142,宁波银行,s6setup-1e29f4e0d840d2523b33,s6event-a5acafd9c44265c25654,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,24.27425,23.18679,STOP,-0.04941566,-1.021809,-119.952808,10.0,1.2067999999999999,0.047461
S6_EXEC_E0_LEGACY,2024-10-25,2024-10-28,2024-10-31,002142,宁波银行,s6setup-502a5dcb540786350afb,s6event-a5acafd9c44265c25654,3,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,24.40438,23.38659,STOP,-0.04630157,-1.023542,-112.996111,10.0,1.21712,0.047791
S6_EXEC_E0_LEGACY,2024-10-25,2024-10-28,2024-11-25,300925,法本信息,s6setup-d30fce650daba787ff76,s6event-30c6891ca5ec417fab68,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,25.210185,23.811165,MAX_HOLDING,-0.05995259,-0.407856,-151.141589,10.0,1.239579,0.049021
S6_EXEC_E0_LEGACY,2024-10-28,2024-10-29,2024-10-30,300750,宁德时代,s6setup-9e65aa9fcaf21c87e545,s6event-5544629afb4ed516095b,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,242.735494,232.80696,STOP,-0.04198956,-1.024036,-1019.235659,14.266274,12.11589,0.475542
S6_EXEC_E0_LEGACY,2024-10-28,2024-10-29,2024-10-31,601186,中国铁建,s6setup-af11af9996de7f907a8d,s6event-22abb3eb478dbb2950ea,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,8.6086,8.26173,STOP_GAP,-0.05240917,-1.201906,-45.116958,10.0,0.429956,0.01687
S6_EXEC_E0_LEGACY,2024-10-29,2024-10-30,2024-11-11,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,s6event-65b03df8846380bd20fc,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,28.23821,39.10086,TARGET,0.38042164,3.323731,1074.242616,10.0,2.022382,0.067339
S6_EXEC_E0_LEGACY,2024-10-29,2024-10-30,2024-11-01,300709,精研科技,s6setup-1a47687228730efc7c66,s6event-c847e2286a4d9449dd22,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,43.88384,41.31864,STOP,-0.06122325,-1.016388,-268.671131,10.0,2.151134,0.085202
S6_EXEC_E0_LEGACY,2024-10-31,2024-11-01,2024-11-14,300139,晓程科技,s6setup-03ac53b95d0ed4d67393,s6event-69df3a7c103f9a68ab46,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,19.33932,17.45253,STOP,-0.10320343,-1.009346,-199.588416,10.0,0.9094180000000001,0.036792
S6_EXEC_E0_LEGACY,2024-10-31,2024-11-01,2024-11-28,600415,小商品城,s6setup-972b529ace9e37bf0db0,s6event-f9f7a9ec98b9e48f99c9,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,9.77977,12.49749,TARGET,0.2670051,5.437941,261.124847,10.0,0.647151,0.022277
S6_EXEC_E0_LEGACY,2024-11-01,2024-11-04,2024-11-15,300139,晓程科技,s6setup-06fe080981f712a2689e,s6event-69df3a7c103f9a68ab46,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,18.23822,17.17281,STOP,-0.06438954,-1.016399,-117.43506,10.0,0.8940509999999999,0.035411
S6_EXEC_E0_LEGACY,2024-11-06,2024-11-07,2024-11-15,002130,沃尔核材,s6setup-b3bfe3b0c2577df77662,s6event-44ba49386672a162979d,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,18.817158,17.81217,STOP,-0.05921513,-1.018062,-111.426046,10.0,0.927237,0.036629
S6_EXEC_E0_LEGACY,2024-11-07,2024-11-08,2024-11-15,002130,沃尔核材,s6setup-601520cd7eade1a86625,s6event-44ba49386672a162979d,2,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,19.317658,17.99199,STOP,-0.07428629,-1.013773,-143.503714,10.0,0.9369099999999999,0.03731
S6_EXEC_E0_LEGACY,2024-11-08,2024-11-11,2024-11-15,002130,沃尔核材,s6setup-0ea994a0114ea261040e,s6event-44ba49386672a162979d,3,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,19.017358,18.03195,STOP,-0.05756817,-1.018659,-109.47945,10.0,0.938647,0.037049
S6_EXEC_E0_LEGACY,2024-11-08,2024-11-11,2024-11-25,002600,领益智造,s6setup-683787f79104f8ee2e19,s6event-59d8b9663583928e9f7b,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,8.48848,7.8921,STOP,-0.08252241,-1.013424,-70.048983,10.0,0.41098599999999996,0.016381
S6_EXEC_E0_LEGACY,2024-11-08,2024-11-11,2024-11-18,300067,安诺其,s6setup-00fcccb83fb3b2701a5b,s6event-759b48ea271bddf08145,1,SUPPORT_PULLBACK,LEGACY_SETUP_ID,FROZEN_TRADE_PLAN,6.11611,5.61438,STOP,-0.09886259,-1.011328,-60.465448,10.0,0.292449,0.01173
