audit_tags,brooks_setup_types,brooks_status,code,expire_date,fill_reason,multi_path_confirmed,order_id,parameter_set_id,passed_path_count,setup_id,signal_date,status,tail_path,tail_path_summary,tail_paths,tail_primary_path
[],"[""FAILED_BEAR_BREAKOUT""]",BROOKS_FAILED_BREAKOUT_READY,000426,2024-05-09,FILLED_FROZEN_PLAN,True,s6order-affc0f685c1db4bc3b91,s6ps-f03199f3e7189f9b,2,s6setup-d2447255d82b4e7de908,2024-05-06,FILLED,BOX,MULTI,"[""BOX"", ""BROOKS""]",BROOKS
[],[],BROOKS_CONTEXT_REJECT,000768,2024-11-05,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-14516137765d509c3d82,s6ps-f03199f3e7189f9b,1,s6setup-bd4b5f1a5e26f455d992,2024-10-31,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,000777,2024-05-16,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-1f93be3ac74e0e31c52a,s6ps-f03199f3e7189f9b,2,s6setup-e8d29abdf82f10859d35,2024-05-13,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,000829,2024-11-19,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-f56034221f943f73df88,s6ps-f03199f3e7189f9b,2,s6setup-085cfe806f3931768d77,2024-11-14,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,002130,2024-11-12,FILLED_FROZEN_PLAN,False,s6order-dc3f1c676f72d8c48e06,s6ps-f03199f3e7189f9b,1,s6setup-601520cd7eade1a86625,2024-11-07,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,002139,2024-12-31,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-a3c46bf1d3127f674f63,s6ps-f03199f3e7189f9b,1,s6setup-fd1e90188568d41c4d76,2024-12-26,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,002142,2024-10-29,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-95c2e9d3ba73b3f992c1,s6ps-f03199f3e7189f9b,3,s6setup-1e29f4e0d840d2523b33,2024-10-24,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,002241,2024-12-10,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-fb6c0ef931a142e1827b,s6ps-f03199f3e7189f9b,3,s6setup-c8f06de1d14a601c92f2,2024-12-05,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,002273,2024-11-26,FILLED_FROZEN_PLAN,False,s6order-db3a15ce3f178dd66bd7,s6ps-f03199f3e7189f9b,1,s6setup-52ee156bbd13078c93bf,2024-11-21,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,002281,2024-11-26,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-59f610114a13db3e28cc,s6ps-f03199f3e7189f9b,1,s6setup-245f99defd9d51049930,2024-11-21,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,002463,2024-03-28,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-ce4ee57049468c936ff6,s6ps-f03199f3e7189f9b,1,s6setup-d6af2725e1ec60f512e7,2024-03-25,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,300139,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-6bd0e23e8d4fef5e4022,s6ps-f03199f3e7189f9b,1,s6setup-03ac53b95d0ed4d67393,2024-10-31,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_FAILED,300210,2024-03-21,FILLED_FROZEN_PLAN,False,s6order-4583c379d3d45f5eb2b6,s6ps-f03199f3e7189f9b,1,s6setup-86918b98cb309eb4bbcc,2024-03-18,FILLED,BOX,BOX,"[""BOX""]",BOX
