audit_tags,brooks_setup_types,brooks_status,code,expire_date,fill_reason,multi_path_confirmed,order_id,parameter_set_id,passed_path_count,setup_id,signal_date,status,tail_path,tail_path_summary,tail_paths,tail_primary_path
[],[],BROOKS_CONTEXT_REJECT,000063,2025-09-16,FILLED_FROZEN_PLAN,False,s6order-458656066823b56ac3fc,s6ps-f03199f3e7189f9b,1,s6setup-2a2011176a13f3224d4c,2025-09-11,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,000063,2025-10-30,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-244ce866c3da8295beaa,s6ps-f03199f3e7189f9b,1,s6setup-9c59ec914cec250db2fc,2025-10-27,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,000338,2025-11-28,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-e7ae64c43f1344ea04ec,s6ps-f03199f3e7189f9b,1,s6setup-7540ae0a7a3f5ceb9f3a,2025-11-25,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT""]",BROOKS_FAILED_BREAKOUT_READY,000426,2024-05-09,FILLED_FROZEN_PLAN,True,s6order-affc0f685c1db4bc3b91,s6ps-f03199f3e7189f9b,2,s6setup-d2447255d82b4e7de908,2024-05-06,FILLED,BOX,MULTI,"[""BOX"", ""BROOKS""]",BROOKS
[],[],BROOKS_FAILED,000426,2025-09-30,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-52b3f72328b5b2b449e2,s6ps-f03199f3e7189f9b,1,s6setup-fb9f1459e01656d3a6f2,2025-09-25,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,000510,2025-12-23,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-8efc7663301ac8bce243,s6ps-f03199f3e7189f9b,1,s6setup-e0e5cd45beeb94e21841,2025-12-18,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,000519,2025-07-17,FILLED_FROZEN_PLAN,False,s6order-eeee84175b1a8e1fc68c,s6ps-f03199f3e7189f9b,1,s6setup-d125da2ab6d89687d74c,2025-07-14,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,000561,2025-09-04,FILLED_FROZEN_PLAN,False,s6order-acbe2abcbcc35c6a9f54,s6ps-f03199f3e7189f9b,1,s6setup-4e4bdb4f02b2642cc0dd,2025-09-01,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,000630,2024-04-02,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-39d9ea895ff3ee4716d6,s6ps-f03199f3e7189f9b,1,s6setup-c91fd7b614b740b9d6bf,2024-03-28,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",SECOND_ENTRY_LONG_READY,000630,2025-10-29,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-f891ff40099ea234df9d,s6ps-f03199f3e7189f9b,2,s6setup-60d6fd6b2c2cbebf8e4f,2025-10-24,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",SECOND_ENTRY_LONG_READY,000630,2025-10-30,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-376799d352189bf73176,s6ps-f03199f3e7189f9b,2,s6setup-8932d40eff99a7ea0742,2025-10-27,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,000722,2025-06-10,FILLED_FROZEN_PLAN,False,s6order-e758e808ca9fddd79904,s6ps-f03199f3e7189f9b,1,s6setup-73ae5bb71010ee426865,2025-06-05,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,000758,2025-08-12,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-57b4b268d193bc68b2e4,s6ps-f03199f3e7189f9b,1,s6setup-993b4afe570f8c7d2858,2025-08-07,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,000766,2025-07-04,FILLED_FROZEN_PLAN,False,s6order-440158010835b75696fd,s6ps-f03199f3e7189f9b,1,s6setup-59623e563d0da8f46a90,2025-07-01,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,000768,2024-11-05,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-14516137765d509c3d82,s6ps-f03199f3e7189f9b,1,s6setup-bd4b5f1a5e26f455d992,2024-10-31,CANCELLED,BOX,BOX,"[""BOX""]",BOX
