box_quality_tag,box_status,brooks_setup_types,brooks_status,candidate_type,code,commission,compact_kline_pass,entry_date,entry_price,exit_date,exit_price,exit_reason,intraday_stop_breach,market_status,multi_path_confirmed,net_profit,net_return,parameter_set_id,passed_path_count,pattern_type,r_multiple,setup_id,signal_date,slippage,stop_loss_price,tail_path,tail_path_summary,tail_paths,tail_primary_path,tax,total_score,trade_id
NONE,BOX_SUPPORT_READY,"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,WATCH_CANDIDATE,002130,10.0,False,2024-11-08,19.6196,2024-11-15,17.99199,STOP,False,MARKET_STRONG,False,-173.698205,-0.088533,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.011189,s6setup-601520cd7eade1a86625,2024-11-07,0.037612,18.01,BOX,BOX,"[""BOX""]",BOX,0.9372119999999999,71,s6trade-947389970f5a535cc77b
NONE,BOX_SUPPORT_READY,"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,WATCH_CANDIDATE,002273,10.0,False,2024-11-22,20.643623,2024-11-25,19.54044,STOP,False,MARKET_STRONG,False,-121.335516,-0.05877627,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.018051,s6setup-0edb436cdc3ef2cfe9c5,2024-11-21,0.040184,19.56,BOX,BOX,"[""BOX""]",BOX,1.0172059999999998,72,s6trade-b3e80c0cb38beb5af718
BOX_COMPACT_READY,BOX_SUPPORT_READY,[],BROOKS_FAILED,KEY_CANDIDATE,300054,10.0,True,2024-11-01,26.8268,2024-11-04,25.7742,STOP_GAP,True,MARKET_STRONG,False,-116.601318,-0.04346449,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.088746,s6setup-e9448b7788c0b695479a,2024-10-31,0.052601,25.86,BOX,BOX,"[""BOX""]",BOX,1.341311,78,s6trade-125d61404434f83d1359
NONE,BOX_FORMING,[],BROOKS_FAILED,KEY_CANDIDATE,300139,10.0,False,2024-11-01,19.43942,2024-11-15,17.45253,STOP,False,MARKET_STRONG,False,-209.598509,-0.10782138,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.008871,s6setup-07f14cf51322453b8607,2024-10-31,0.036892,17.47,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL,0.909518,81,s6trade-157b13b4b2da2f4a8061
NONE,BOX_SUPPORT_READY,[],BROOKS_FAILED,WATCH_CANDIDATE,300210,10.0,False,2024-03-19,12.8128,2024-03-27,11.40858,STOP,False,MARKET_STRONG,False,-151.016645,-0.11786389,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.008199,s6setup-86918b98cb309eb4bbcc,2024-03-18,0.024221,11.42,BOX,BOX,"[""BOX""]",BOX,0.59465,69,s6trade-e87e0c3cd0624d477a7f
NONE,BOX_STABLE,[],BROOKS_CONTEXT_REJECT,WATCH_CANDIDATE,300459,10.0,False,2024-12-20,7.31731,2024-12-23,6.78321,STOP,False,MARKET_STRONG,False,-63.763259,-0.0871403,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.012877,s6setup-dbc04670d4bf601779fa,2024-12-19,0.014101,6.79,BOX,BOX,"[""BOX""]",BOX,0.353261,73,s6trade-0d51e3bbe2d956beaa2a
NONE,BOX_SUPPORT_READY,[],BROOKS_CONTEXT_REJECT,WATCH_CANDIDATE,300671,10.0,False,2024-11-01,43.043,2024-11-04,39.49047,STOP_GAP,True,MARKET_STRONG,False,-367.310066,-0.08533561,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.58383,s6setup-d2454cabd0055c13a98d,2024-10-31,0.082533,40.8,BOX,BOX,"[""BOX""]",BOX,2.057057,73,s6trade-0488eb901ce913100667
NONE,BOX_SUPPORT_READY,[],BROOKS_CONTEXT_REJECT,WATCH_CANDIDATE,600316,10.0,False,2024-11-15,35.3353,2024-11-19,32.88708,STOP,False,MARKET_STRONG,False,-256.534561,-0.07260008,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.01363,s6setup-5557a5a7600aa536bf80,2024-11-14,0.068222,32.92,BOX,BOX,"[""BOX""]",BOX,1.712576,69,s6trade-676057a38424c8305440
BOX_COMPACT_READY,BOX_SUPPORT_READY,[],COMPACT_BEARISH_REJECT,KEY_CANDIDATE,600415,10.0,True,2024-11-01,9.77977,2024-11-28,12.49749,TARGET,False,MARKET_STRONG,False,261.124847,0.2670051,s6ps-f03199f3e7189f9b,1,UNKNOWN,4.456959,s6setup-eac28ea53ffdad511a2a,2024-10-31,0.022277,9.17,BOX,BOX,"[""BOX""]",BOX,0.647151,75,s6trade-9855bf852bdba6c66105
NONE,BOX_SUPPORT_READY,"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,WATCH_CANDIDATE,600843,10.0,False,2024-11-15,13.7137,2024-11-18,12.35763,STOP,False,MARKET_STRONG,False,-146.250947,-0.10664587,s6ps-f03199f3e7189f9b,1,UNKNOWN,-1.009206,s6setup-3c0b64943e06bf1b0862,2024-11-14,0.026071,12.37,BOX,BOX,"[""BOX""]",BOX,0.643952,70,s6trade-a57cf9c146fa3ec61576
