audit_tags,brooks_setup_types,brooks_status,code,expire_date,fill_reason,multi_path_confirmed,order_id,parameter_set_id,passed_path_count,setup_id,signal_date,status,tail_path,tail_path_summary,tail_paths,tail_primary_path
[],[],BROOKS_CONTEXT_REJECT,000750,2024-11-19,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-ee0be24dfc2b67554e01,s6ps-1eed9eeef41d8217,1,s6setup-e459568fec156d570031,2024-11-14,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,000768,2024-11-05,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-cd0a0d7861a32214574e,s6ps-1eed9eeef41d8217,1,s6setup-4bfd30c5efabe688957a,2024-10-31,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,000829,2024-11-19,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-e81fd81fe81dc04b9040,s6ps-1eed9eeef41d8217,2,s6setup-085cfe806f3931768d77,2024-11-14,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,002130,2024-11-12,FILLED_FROZEN_PLAN,False,s6order-935452b1231065e4cf8a,s6ps-1eed9eeef41d8217,1,s6setup-601520cd7eade1a86625,2024-11-07,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,002139,2024-12-31,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-c6de9304ba0805a43c0e,s6ps-1eed9eeef41d8217,1,s6setup-fd1e90188568d41c4d76,2024-12-26,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,002142,2024-10-29,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-51d80ba8ea492140491f,s6ps-1eed9eeef41d8217,3,s6setup-ffdd0041308f3fe5cc72,2024-10-24,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,002273,2024-11-26,FILLED_FROZEN_PLAN,False,s6order-a5ce5965d5f0375351cb,s6ps-1eed9eeef41d8217,1,s6setup-0edb436cdc3ef2cfe9c5,2024-11-21,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,002463,2024-03-28,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-a9e3b05a92cb14d4e12d,s6ps-1eed9eeef41d8217,1,s6setup-d6af2725e1ec60f512e7,2024-03-25,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,300054,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-0ccac738069890195cfe,s6ps-1eed9eeef41d8217,1,s6setup-e9448b7788c0b695479a,2024-10-31,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,300139,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-98e00fc8d301e5cf321a,s6ps-1eed9eeef41d8217,1,s6setup-07f14cf51322453b8607,2024-10-31,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
