audit_tags,brooks_setup_types,brooks_status,code,entry_archetype,expire_date,fill_reason,multi_path_confirmed,order_id,parameter_set_id,passed_path_count,setup_id,signal_date,status,tail_path,tail_path_summary,tail_paths,tail_primary_path
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,000829,SUPPORT_PULLBACK,2024-11-19,FILLED_FROZEN_PLAN,True,s6order-c14bcf166847d981025a,s6ps-92f310712192eee3,2,s6setup-085cfe806f3931768d77,2024-11-14,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,000901,SUPPORT_PULLBACK,2025-09-02,FILLED_FROZEN_PLAN,True,s6order-2e7b3e21415d290835af,s6ps-92f310712192eee3,2,s6setup-dc999fb57a8ae386f6f0,2025-08-28,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],[],BROOKS_FAILED,000948,SUPPORT_PULLBACK,2025-03-13,FILLED_FROZEN_PLAN,False,s6order-f610b9196fed2984326d,s6ps-92f310712192eee3,1,s6setup-1e4f346d71885992b9b7,2025-03-10,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,000997,SUPPORT_PULLBACK,2025-04-09,CANCEL_OPEN_BELOW_BUY_ZONE,True,s6order-b91c6ebe939a208811f6,s6ps-92f310712192eee3,2,s6setup-1e2d25294585f6e19ab8,2025-04-03,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,001267,SUPPORT_PULLBACK,2025-12-31,FILLED_FROZEN_PLAN,True,s6order-1291b1ece639ec9dfe9c,s6ps-92f310712192eee3,2,s6setup-223e50ba051c0a8871db,2025-12-29,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,001267,SUPPORT_PULLBACK,2025-12-31,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-7fe78eb6e64cf03198e7,s6ps-92f310712192eee3,2,s6setup-c72ee24097cfb90caf7f,2025-12-30,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT"", ""ORDERLY_COMPRESSION_AT_SUPPORT""]",BROOKS_FAILED_BREAKOUT_READY,002048,FAILED_BREAKOUT_RECLAIM,2025-07-29,CANCEL_OPEN_BELOW_BUY_ZONE,True,s6order-8c65e59dc134997db527,s6ps-92f310712192eee3,3,s6setup-f5421e73dd4081027fbf,2025-07-24,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,002142,SUPPORT_PULLBACK,2024-10-29,FILLED_FROZEN_PLAN,True,s6order-cdc1c1559b5b461d50d7,s6ps-92f310712192eee3,3,s6setup-ffdd0041308f3fe5cc72,2024-10-24,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_FAILED_BREAKOUT_READY,002152,FAILED_BREAKOUT_RECLAIM,2025-03-14,FILLED_FROZEN_PLAN,True,s6order-4648cf5bbbd80533fead,s6ps-92f310712192eee3,3,s6setup-bd8b131fa0905be2cc31,2025-03-11,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,002176,SUPPORT_PULLBACK,2025-10-13,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-2f7f43e2153f45bdb0b1,s6ps-92f310712192eee3,2,s6setup-6b6ff969af11dd8937ab,2025-09-30,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
