box_quality_tag,box_status,brooks_setup_types,brooks_status,candidate_type,code,commission,compact_kline_pass,entry_archetype,entry_date,entry_price,exit_date,exit_price,exit_reason,intraday_stop_breach,market_status,multi_path_confirmed,net_profit,net_return,parameter_set_id,passed_path_count,path_evidence_band,path_evidence_score,pattern_type,r_multiple,score_model_version,setup_id,setup_quality_band,setup_quality_score,signal_date,slippage,start_event_quality_score,start_quality_band,stop_loss_price,support_reaction_band,support_reaction_score,tail_path,tail_path_summary,tail_paths,tail_primary_path,tax,total_score,trade_id
NONE,BOX_STABLE,"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,KEY_CANDIDATE,000829,10.0,False,SUPPORT_PULLBACK,2024-11-15,15.06505,2024-11-18,14.14584,STOP,False,MARKET_STRONG,True,-102.657499,-0.06814282,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,-1.015646,S6_QUALITY_V2,s6setup-085cfe806f3931768d77,15-19,16,2024-11-14,0.029211,20,20-24,14.16,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,0.736503,76,s6trade-ffd1bee250e4784dc48c
NONE,BOX_SUPPORT_READY,"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,000901,10.0,False,SUPPORT_PULLBACK,2025-08-29,18.42841,2025-09-03,16.92306,STOP,False,MARKET_STRONG,True,-161.416507,-0.08759112,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,-1.011381,S6_QUALITY_V2,s6setup-dc999fb57a8ae386f6f0,15-19,15,2025-08-28,0.035351,19,15-19,16.94,05-09,8,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,0.8815040000000001,73,s6trade-a1ce381edbe367ba79f4
NONE,BOX_BREAKOUT_READY,[],BROOKS_FAILED,WATCH_CANDIDATE,000948,10.0,False,SUPPORT_PULLBACK,2025-03-11,19.8198,2025-03-19,19.17081,STOP,False,MARKET_STRONG,False,-75.896535,-0.03829329,s6ps-92f310712192eee3,1,00-04,3,UNKNOWN,-1.03047,S6_QUALITY_V2,s6setup-1e4f346d71885992b9b7,10-14,13,2025-03-10,0.038991,20,20-24,19.19,05-09,8,BOX,BOX,"[""BOX""]",BOX,0.997531,52,s6trade-5f72b7e929589ee1945f
NONE,BOX_SUPPORT_READY,"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,WATCH_CANDIDATE,001267,0.0,False,SUPPORT_PULLBACK,2025-12-30,21.278257,,0.0,UNRESOLVED_NO_EXIT_BAR,False,MARKET_STRONG,True,0.0,0.0,s6ps-92f310712192eee3,2,15-19,15,PLATFORM,0.0,S6_QUALITY_V2,s6setup-223e50ba051c0a8871db,10-14,13,2025-12-29,0.0,16,15-19,20.39,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,0.0,76,s6trade-c8454f79880694ad7cd8
BOX_COMPACT_READY,BOX_BREAKOUT_READY,"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,KEY_CANDIDATE,002142,10.0,True,SUPPORT_PULLBACK,2024-10-25,26.37635,2024-11-04,25.21476,STOP,False,MARKET_STRONG,True,-127.471334,-0.04832789,s6ps-92f310712192eee3,3,15-19,15,UNKNOWN,-1.022211,S6_QUALITY_V2,s6setup-ffdd0041308f3fe5cc72,15-19,19,2024-10-24,0.051591,16,15-19,25.24,05-09,7,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,1.3123289999999999,75,s6trade-95baea5470c5c1c220f4
NONE,BOX_SUPPORT_READY,"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_FAILED_BREAKOUT_READY,WATCH_CANDIDATE,002152,10.0,False,FAILED_BREAKOUT_RECLAIM,2025-03-12,14.54453,2025-03-20,13.95603,STOP,False,MARKET_STRONG,True,-69.576305,-0.04783675,s6ps-92f310712192eee3,3,15-19,15,UNKNOWN,-1.024316,S6_QUALITY_V2,s6setup-bd8b131fa0905be2cc31,10-14,13,2025-03-11,0.028501,19,15-19,13.97,05-09,8,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,0.726303,70,s6trade-6de7557c24bed249caff
NONE,BOX_SUPPORT_READY,"[""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,WATCH_CANDIDATE,002229,10.0,False,SUPPORT_PULLBACK,2025-07-31,18.7187,2025-08-04,17.74224,STOP,False,MARKET_STRONG,True,-108.569564,-0.05800059,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,-1.018525,S6_QUALITY_V2,s6setup-a50133f018fa3b741b7a,10-14,12,2025-07-30,0.036461,14,10-14,17.76,05-09,8,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,0.923573,64,s6trade-1ec633c230d19192d38c
NONE,BOX_BREAKOUT_READY,[],BROOKS_FAILED,WATCH_CANDIDATE,002317,10.0,False,SUPPORT_PULLBACK,2025-07-02,15.20519,2025-07-29,18.85113,TARGET,False,MARKET_STRONG,True,353.617388,0.23256361,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,4.472503,S6_QUALITY_V2,s6setup-6a3585526fde8c7dfc5b,15-19,15,2025-07-01,0.034056,20,20-24,14.39,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,0.976613,74,s6trade-01903c5165525a6f57cf
NONE,BOX_STABLE,[],BROOKS_CONTEXT_REJECT,WATCH_CANDIDATE,002317,10.0,False,SUPPORT_PULLBACK,2025-08-26,22.79277,2025-08-27,21.74823,STOP,False,MARKET_STRONG,True,-115.585943,-0.05071167,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,-1.021285,S6_QUALITY_V2,s6setup-ca2dc9a2f22b3e9d5c28,15-19,17,2025-08-25,0.044541,20,20-24,21.77,05-09,8,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,1.1319519999999998,71,s6trade-4de1cbf28acdf844da6c
NONE,BOX_BREAKOUT_READY,"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,WATCH_CANDIDATE,002378,10.0,False,SUPPORT_PULLBACK,2025-09-15,13.5135,2025-09-16,12.67731,STOP,False,MARKET_STRONG,True,-94.279054,-0.06976657,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,-1.01541,S6_QUALITY_V2,s6setup-c4520a011b1400a27c31,10-14,11,2025-09-12,0.026191,20,20-24,12.69,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,0.660056,71,s6trade-193361440c2212ac5753
